0.1,netural
0.2,netural
0.3,netural
0.4,netural
0.5,netural
0.6,netural
0.7,netural
0.8,right
0.9,right
1,right
1.1,right
1.2,right
1.3,right
1.4,right
1.5,right
1.6,right
1.7,right
1.8,right
1.9,right
2,right
2.1,right
2.2,right
2.3,right
2.4,right
2.5,right
2.6,right
2.7,netural
2.8,netural
2.9,netural
3,netural
3.1,netural
3.2,netural
3.3,netural
3.4,netural
3.5,netural
3.6,netural
3.7,netural
3.8,netural
3.9,netural
4,netural
4.1,netural
4.2,netural
4.3,netural
4.4,netural
4.5,netural
4.6,netural
4.7,netural
4.8,netural
4.9,netural
5,netural
5.1,netural
5.2,left
5.3,left
5.4,left
5.5,left
5.6,left
5.7,left
5.8,left
5.9,left
6,left
6.1,left
6.2,left
6.3,left
6.4,left
6.5,left
6.6,left
6.7,left
6.8,left
6.9,left
7,left
7.1,netural
7.2,netural
7.3,netural
7.4,netural
7.5,netural
7.6,netural
7.7,netural
7.8,netural
7.9,netural
8,netural
8.1,netural
8.2,netural
8.3,netural
8.4,netural
8.5,netural
8.6,netural
8.7,netural
8.8,netural
8.9,netural
9,netural
9.1,netural
9.2,netural
9.3,netural
9.4,netural
9.5,netural
9.6,netural
9.7,netural
9.8,netural
9.9,netural
10,netural
10.1,netural
10.2,netural
10.3,netural
10.4,netural
10.5,right
10.6,right
10.7,right
10.8,right
10.9,right
11,right
11.1,right
11.2,right
11.3,left
11.4,left
11.5,left
11.6,left
11.7,left
11.8,left
11.9,left
12,left
12.1,left
12.2,left
12.3,left
12.4,left
12.5,left
12.6,left
12.7,left
12.8,left
12.9,netural
13,netural
13.1,netural
13.2,netural
13.3,netural
13.4,netural
13.5,netural
13.6,netural
13.7,netural
13.8,netural
13.9,netural
14,left
14.1,left
14.2,left
14.3,left
14.4,left
14.5,left
14.6,left
14.7,left
14.8,left
14.9,left
15,left
15.1,left
15.2,left
15.3,left
15.4,left
15.5,left
15.6,left
15.7,left
15.8,left
15.9,left
16,left
16.1,left
16.2,left
16.3,left
16.4,left
16.5,netural
16.6,netural
16.7,netural
16.8,netural
16.9,netural
17,netural
17.1,netural
17.2,netural
17.3,netural
17.4,netural
17.5,netural
17.6,left
17.7,left
17.8,left
17.9,left
18,left
18.1,left
18.2,left
18.3,left
18.4,left
18.5,left
18.6,right
18.7,right
18.8,right
18.9,right
19,right
19.1,right
19.2,right
19.3,right
19.4,right
19.5,right
19.6,right
19.7,right
19.8,right
19.9,right
20,right
20.1,right
20.2,right
20.3,right
20.4,right
20.5,right
20.6,right
20.7,right
20.8,right
20.9,right
21,netural
21.1,netural
21.2,netural
21.3,netural
21.4,netural
21.5,netural
21.6,netural
21.7,netural
21.8,netural
21.9,netural
22,netural
22.1,netural
22.2,netural
22.3,netural
22.4,netural
22.5,netural
22.6,netural
22.7,netural
22.8,netural
22.9,netural
23,netural
23.1,netural
23.2,netural
23.3,netural
23.4,netural
23.5,netural
23.6,netural
23.7,netural
23.8,netural
23.9,netural
24,netural
24.1,netural
24.2,netural
24.3,netural
24.4,netural
24.5,netural
24.6,netural
24.7,netural
24.8,netural
24.9,netural
25,netural
25.1,netural
25.2,netural
25.3,netural
25.4,netural
25.5,netural
25.6,netural
25.7,netural
25.8,netural
25.9,netural
26,right
26.1,right
26.2,right
26.3,right
26.4,right
26.5,right
26.6,right
26.7,right
26.8,right
26.9,right
27,right
27.1,right
27.2,right
27.3,right
27.4,right
27.5,right
27.6,right
27.7,right
27.8,right
27.9,right
28,right
28.1,netural
28.2,netural
28.3,netural
28.4,netural
28.5,netural
28.6,netural
28.7,netural
28.8,netural
28.9,netural
29,netural
29.1,netural
29.2,netural
29.3,netural
29.4,netural
29.5,netural
29.6,netural
29.7,netural
29.8,netural
29.9,netural
30,left
30.1,left
30.2,left
30.3,left
30.4,left
30.5,left
30.6,left
30.7,left
30.8,left
30.9,left
31,left
31.1,left
31.2,left
31.3,left
31.4,left
31.5,netural
31.6,netural
31.7,netural
31.8,netural
31.9,netural
32,netural
32.1,netural
32.2,right
32.3,right
32.4,right
32.5,right
32.6,right
32.7,right
32.8,right
32.9,right
33,right
33.1,right
33.2,right
33.3,right
33.4,right
33.5,right
33.6,right
33.7,right
33.8,right
33.9,right
34,right
34.1,right
34.2,right
34.3,netural
34.4,netural
34.5,netural
34.6,netural
34.7,netural
34.8,netural
34.9,netural
35,netural
35.1,netural
35.2,netural
35.3,netural
35.4,netural
35.5,netural
35.6,netural
35.7,netural
35.8,netural
35.9,netural
36,netural
36.1,netural
36.2,netural
36.3,netural
36.4,netural
36.5,netural
36.6,netural
36.7,netural
36.8,netural
36.9,netural
37,netural
37.1,netural
37.2,left
37.3,left
37.4,left
37.5,left
37.6,left
37.7,left
37.8,left
37.9,left
38,left
38.1,left
38.2,left
38.3,left
38.4,left
38.5,left
38.6,left
38.7,left
38.8,left
38.9,netural
39,netural
39.1,netural
39.2,netural
39.3,netural
39.4,netural
39.5,netural
39.6,netural
39.7,netural
39.8,netural
39.9,netural
40,netural
40.1,right
40.2,right
40.3,right
40.4,right
40.5,right
40.6,right
40.7,right
40.8,right
40.9,right
41,right
41.1,right
41.2,right
41.3,right
41.4,right
41.5,right
41.6,right
41.7,right
41.8,right
41.9,right
42,right
42.1,netural
42.2,netural
42.3,netural
42.4,netural
42.5,netural
42.6,netural
42.7,netural
42.8,netural
42.9,netural
43,netural
43.1,netural
43.2,netural
43.3,netural
43.4,netural
43.5,netural
43.6,netural
43.7,netural
43.8,left
43.9,left
44,left
44.1,left
44.2,left
44.3,left
44.4,left
44.5,left
44.6,left
44.7,left
44.8,left
44.9,left
45,left
45.1,netural
45.2,netural
45.3,netural
45.4,netural
45.5,netural
45.6,netural
45.7,netural
45.8,right
45.9,right
46,right
46.1,right
46.2,right
46.3,right
46.4,right
46.5,right
46.6,right
46.7,right
46.8,right
46.9,right
47,right
47.1,right
47.2,right
47.3,right
47.4,right
47.5,right
47.6,right
47.7,right
47.8,right
47.9,right
48,right
48.1,netural
48.2,netural
48.3,netural
48.4,netural
48.5,netural
48.6,netural
48.7,netural
48.8,netural
48.9,netural
49,netural
49.1,netural
49.2,netural
49.3,netural
49.4,netural
49.5,netural
49.6,netural
49.7,netural
49.8,netural
49.9,netural
50,netural
50.1,netural
50.2,left
50.3,left
50.4,left
50.5,left
50.6,left
50.7,left
50.8,left
50.9,left
51,left
51.1,left
51.2,left
51.3,left
51.4,left
51.5,left
51.6,left
51.7,left
51.8,left
51.9,left
52,left
52.1,left
52.2,netural
52.3,netural
52.4,netural
52.5,netural
52.6,netural
52.7,netural
52.8,netural
52.9,right
53,right
53.1,right
53.2,right
53.3,right
53.4,right
53.5,right
53.6,right
53.7,right
53.8,right
53.9,right
54,right
54.1,netural
54.2,netural
54.3,netural
54.4,netural
54.5,netural
54.6,netural
54.7,netural
54.8,netural
54.9,netural
55,netural
55.1,netural
55.2,netural
55.3,netural
55.4,netural
55.5,netural
55.6,netural
55.7,netural
55.8,netural
55.9,netural
56,netural
56.1,netural
56.2,netural
56.3,netural
56.4,netural
56.5,netural
56.6,netural
56.7,netural
56.8,netural
56.9,netural
57,netural
57.1,netural
57.2,netural
57.3,netural
57.4,netural
57.5,netural
57.6,netural
57.7,netural
57.8,netural
57.9,right
58,right
58.1,right
58.2,right
58.3,right
58.4,right
58.5,right
58.6,right
58.7,right
58.8,right
58.9,right
59,right
59.1,right
59.2,right
59.3,right
59.4,right
59.5,right
59.6,right
59.7,right
59.8,right
59.9,right
60,right
60.1,right
60.2,right
60.3,right
60.4,right
60.5,right
60.6,right
60.7,right
60.8,right
60.9,right
61,right
61.1,right
61.2,right
61.3,right
61.4,right
61.5,right
61.6,right
61.7,right
61.8,right
61.9,netural
62,netural
62.1,netural
62.2,netural
62.3,netural
62.4,netural
62.5,netural
62.6,netural
62.7,netural
62.8,netural
62.9,netural
63,netural
63.1,netural
63.2,netural
63.3,netural
63.4,netural
63.5,netural
63.6,netural
63.7,netural
63.8,netural
63.9,netural
64,netural
64.1,netural
64.2,netural
64.3,netural
64.4,netural
64.5,netural
64.6,netural
64.7,netural
64.8,netural
64.9,netural
65,netural
65.1,netural
65.2,netural
65.3,netural
65.4,netural
65.5,netural
65.6,netural
65.7,netural
65.8,netural
65.9,netural
66,netural
66.1,netural
66.2,netural
66.3,netural
66.4,netural
66.5,netural
66.6,netural
66.7,netural
66.8,netural
66.9,netural
67,netural
67.1,netural
67.2,netural
67.3,netural
67.4,netural
67.5,netural
67.6,netural
67.7,netural
67.8,right
67.9,right
68,right
68.1,right
68.2,right
68.3,right
68.4,right
68.5,right
68.6,right
68.7,right
68.8,right
68.9,right
69,right
69.1,right
69.2,right
69.3,right
69.4,right
69.5,right
69.6,right
69.7,right
69.8,right
69.9,netural
70,netural
70.1,netural
70.2,netural
70.3,netural
70.4,netural
70.5,netural
70.6,netural
70.7,netural
70.8,netural
70.9,netural
71,netural
71.1,netural
71.2,netural
71.3,netural
71.4,netural
71.5,netural
71.6,netural
71.7,netural
71.8,netural
71.9,netural
72,netural
72.1,netural
72.2,netural
72.3,netural
72.4,netural
72.5,netural
72.6,netural
72.7,netural
72.8,right
72.9,right
73,right
73.1,right
73.2,right
73.3,right
73.4,right
73.5,right
73.6,right
73.7,right
73.8,right
73.9,right
74,right
74.1,netural
74.2,netural
74.3,netural
74.4,netural
74.5,netural
74.6,netural
74.7,netural
74.8,netural
74.9,netural
75,netural
75.1,netural
75.2,netural
75.3,netural
75.4,netural
75.5,netural
75.6,netural
75.7,netural
75.8,netural
75.9,left
76,left
76.1,left
76.2,left
76.3,left
76.4,left
76.5,left
76.6,left
76.7,left
76.8,left
76.9,left
77,right
77.1,right
77.2,right
77.3,right
77.4,right
77.5,right
77.6,right
77.7,right
77.8,right
77.9,right
78,netural
78.1,netural
78.2,netural
78.3,netural
78.4,netural
78.5,netural
78.6,netural
78.7,netural
78.8,netural
78.9,netural
79,netural
79.1,netural
79.2,netural
79.3,netural
79.4,netural
79.5,netural
79.6,netural
79.7,netural
79.8,netural
79.9,netural
80,netural
80.1,netural
80.2,netural
80.3,netural
80.4,netural
80.5,netural
80.6,netural
80.7,netural
80.8,netural
80.9,netural
81,netural
81.1,netural
81.2,netural
81.3,netural
81.4,netural
81.5,right
81.6,right
81.7,right
81.8,right
81.9,right
82,right
82.1,netural
82.2,netural
82.3,netural
82.4,netural
82.5,netural
82.6,netural
82.7,netural
82.8,netural
82.9,left
83,left
83.1,left
83.2,left
83.3,left
83.4,left
83.5,left
83.6,left
83.7,left
83.8,left
83.9,left
84,right
84.1,right
84.2,right
84.3,right
84.4,right
84.5,right
84.6,right
84.7,right
84.8,right
84.9,right
85,right
85.1,left
85.2,left
85.3,left
85.4,left
85.5,left
85.6,left
85.7,left
85.8,left
85.9,left
86,left
86.1,left
86.2,left
86.3,left
86.4,right
86.5,right
86.6,right
86.7,right
86.8,right
86.9,right
87,right
87.1,right
87.2,right
87.3,right
87.4,right
87.5,right
87.6,right
87.7,left
87.8,left
87.9,left
88,left
88.1,left
88.2,left
88.3,left
88.4,left
88.5,left
88.6,left
88.7,left
88.8,left
88.9,left
89,left
89.1,netural
89.2,netural
89.3,netural
89.4,netural
89.5,netural
89.6,netural
89.7,netural
89.8,netural
89.9,netural
90,netural
90.1,netural
90.2,netural
90.3,netural
90.4,netural
90.5,netural
90.6,netural
90.7,netural
90.8,netural
90.9,netural
91,netural
91.1,netural
91.2,netural
91.3,netural
91.4,netural
91.5,netural
91.6,netural
91.7,netural
91.8,netural
91.9,netural
92,netural
92.1,netural
92.2,netural
92.3,netural
92.4,netural
92.5,netural
92.6,netural
92.7,netural
92.8,netural
92.9,netural
93,netural
93.1,netural
93.2,netural
93.3,netural
93.4,netural
93.5,netural
93.6,netural
93.7,netural
93.8,netural
93.9,netural
94,netural
94.1,netural
94.2,netural
94.3,netural
94.4,netural
94.5,netural
94.6,netural
94.7,netural
94.8,netural
94.9,netural
95,netural
95.1,left
95.2,left
95.3,left
95.4,left
95.5,left
95.6,left
95.7,left
95.8,left
95.9,left
96,left
96.1,left
96.2,left
96.3,left
96.4,left
96.5,left
96.6,left
96.7,netural
96.8,netural
96.9,netural
97,netural
97.1,netural
97.2,netural
97.3,right
97.4,right
97.5,right
97.6,right
97.7,right
97.8,right
97.9,right
98,right
98.1,right
98.2,left
98.3,left
98.4,left
98.5,left
98.6,left
98.7,netural
98.8,netural
98.9,netural
99,netural
99.1,netural
99.2,netural
99.3,netural
99.4,netural
99.5,netural
99.6,netural
99.7,netural
99.8,netural
99.9,netural
100,netural
